Date,KO,PEP
2018-01-02,36.272212982177734,95.27212524414062
2018-01-03,36.192569732666016,95.02195739746094
2018-01-04,36.70231628417969,95.4900131225586
2018-01-05,36.69435119628906,95.76437377929688
2018-01-08,36.638587951660156,95.21563720703125
2018-01-09,36.82178497314453,95.28826141357422
2018-01-10,36.69435119628906,94.8040771484375
2018-01-11,36.67045974731445,94.31986999511719
2018-01-12,36.75807189941406,94.72335052490234
2018-01-16,37.060733795166016,95.11073303222656
2018-01-17,37.291717529296875,96.1759262084961
2018-01-18,37.33951950073242,96.071044921875
2018-01-19,37.562522888183594,96.974853515625
2018-01-22,37.737754821777344,98.05620574951172
2018-01-23,37.79351043701172,97.8867416381836
2018-01-24,38.096187591552734,97.75761413574219
2018-01-25,38.10414505004883,97.56393432617188
2018-01-26,38.65372085571289,98.25794982910156
2018-01-29,37.99262619018555,96.57135772705078
2018-01-30,37.76164245605469,96.74888610839844
2018-01-31,37.9050178527832,97.07977294921875
2018-02-01,37.79351043701172,97.07977294921875
2018-02-02,37.220035552978516,95.76437377929688
2018-02-05,35.754493713378906,92.36698913574219
2018-02-06,35.579261779785156,91.6407241821289
2018-02-07,35.491661071777344,91.59227752685547
2018-02-08,34.32878112792969,88.88890838623047
2018-02-09,34.35266876220703,89.72010803222656
2018-02-12,35.02172088623047,90.32533264160156
2018-02-13,35.196956634521484,90.49476623535156
2018-02-14,35.12526321411133,88.04965209960938
2018-02-15,35.666873931884766,89.55064392089844
2018-02-16,35.82617950439453,89.6232681274414
2018-02-20,35.037654876708984,88.34822845458984
2018-02-21,34.519920349121094,87.15390014648438
2018-02-22,34.663299560546875,88.17068481445312
2018-02-23,35.07747268676758,88.50962829589844
2018-02-26,35.06950759887695,89.52642822265625
2018-02-27,34.74296188354492,89.486083984375
2018-02-28,34.42435073852539,88.54997253417969
2018-03-01,34.59162521362305,87.89554595947266
2018-03-02,34.82259750366211,88.6434555053711
2018-03-05,34.95799255371094,88.96051025390625
2018-03-06,34.989871978759766,89.08245849609375
2018-03-07,34.902244567871094,89.29381561279297
2018-03-08,35.40403747558594,91.11483001708984
2018-03-09,35.69873809814453,91.48878479003906
2018-03-12,35.46775436401367,91.65950775146484
2018-03-13,35.49961853027344,92.3504867553711
2018-03-14,35.17821502685547,91.54566955566406
2018-03-15,35.08981704711914,91.0416488647461
2018-03-16,34.92108154296875,90.75712585449219
2018-03-19,34.760379791259766,89.71656036376953
2018-03-20,34.680015563964844,89.34260559082031
2018-03-21,34.55146789550781,88.39958953857422
2018-03-22,34.35861587524414,87.74922180175781
2018-03-23,34.01310348510742,86.29405212402344
2018-03-26,34.3023681640625,86.83059692382812
2018-03-27,34.46307373046875,87.50535583496094
2018-03-28,34.8085823059082,88.75727081298828
2018-03-29,34.896976470947266,88.7328872680664
2018-04-02,34.286293029785156,87.02569580078125
2018-04-03,34.8568000793457,87.95246124267578
2018-04-04,35.54783630371094,89.57024383544922
2018-04-05,35.67638397216797,89.88726806640625
2018-04-06,35.29069519042969,88.85482788085938
2018-04-09,35.218379974365234,88.91986083984375
2018-04-10,35.34695053100586,88.9361572265625
2018-04-11,35.34695053100586,88.35079956054688
2018-04-12,35.37908935546875,88.05001831054688
2018-04-13,35.76477813720703,88.82231140136719
2018-04-16,35.90137481689453,89.35885620117188
2018-04-17,36.06208801269531,88.50524139404297
2018-04-18,35.76477813720703,86.96878814697266
2018-04-19,35.60407638549805,85.82254791259766
2018-04-20,35.14607238769531,83.31056213378906
2018-04-23,35.33890914916992,83.39183807373047
2018-04-24,34.607723236083984,82.46509552001953
2018-04-25,34.09345626831055,82.22932434082031
2018-04-26,34.35057830810547,83.94464111328125
2018-04-27,34.8005485534668,82.68456268310547
2018-04-30,34.72019577026367,82.05860900878906
2018-05-01,34.222007751464844,80.58718872070312
2018-05-02,33.79615020751953,79.0426025390625
2018-05-03,33.65955352783203,79.3433837890625
2018-05-04,34.03720474243164,80.47338104248047
2018-05-07,33.86042404174805,79.85555267333984
2018-05-08,33.59526062011719,78.68489837646484
2018-05-09,33.57115936279297,78.1727294921875
2018-05-10,33.892578125,79.07511138916016
2018-05-11,33.86042404174805,79.2051773071289
2018-05-14,33.78007507324219,78.97755432128906
2018-05-15,33.52294921875,78.69304656982422
2018-05-16,33.3863525390625,79.01007080078125
2018-05-17,33.9890022277832,79.60352325439453
2018-05-18,33.892578125,79.27021026611328
2018-05-21,34.077388763427734,80.89611053466797
2018-05-22,33.948814392089844,81.23755645751953
2018-05-23,34.06935501098633,81.66028594970703
2018-05-24,34.00506591796875,81.4407958984375
2018-05-25,34.06935501098633,81.54647064208984
2018-05-29,34.29433059692383,82.18867492675781
2018-05-30,34.655921936035156,82.78213500976562
2018-05-31,34.55146789550781,82.24723052978516
2018-06-01,34.64787673950195,82.24723052978516
2018-06-04,34.94519805908203,82.14057922363281
2018-06-05,34.63985061645508,82.21441650390625
2018-06-06,34.92108154296875,82.72306823730469
2018-06-07,34.905006408691406,82.99382781982422
2018-06-08,35.31480026245117,84.0849609375
2018-06-11,35.45943832397461,84.6756820678711
2018-06-12,35.68442153930664,85.71760559082031
2018-06-13,35.49961853027344,86.36573028564453
2018-06-14,35.329376220703125,86.2508773803711
2018-06-15,35.76713943481445,88.28553771972656
2018-06-18,35.3050537109375,86.45599365234375
2018-06-19,35.345584869384766,86.93181610107422
2018-06-20,35.06995391845703,86.80876159667969
2018-06-21,34.9321403503418,87.9819564819336
2018-06-22,35.06184768676758,88.90904235839844
2018-06-25,35.329376220703125,89.41768646240234
